benchmark;instance;repetition;device;params
test;startup-1d-cpu;1;cpu;{"dim": 1, "device": "cpu"}
interval;generateRandom-1d-cpu;100;cpu;{"dim": 1, "device": "cpu"}
interval;generateRandom-1d-gpu;100;gpu;{"dim": 1, "device": "gpu"}
interval;generateRandom-2d-cpu;100;cpu;{"dim": 2, "device": "cpu"}
interval;generateRandom-2d-gpu;100;gpu;{"dim": 2, "device": "gpu"}
interval;generateRandom-5d-cpu;100;cpu;{"dim": 5, "device": "cpu"}
interval;generateRandom-5d-gpu;100;gpu;{"dim": 5, "device": "gpu"}
interval;generateRandom-10d-cpu;100;cpu;{"dim": 10, "device": "cpu"}
interval;generateRandom-10d-gpu;100;gpu;{"dim": 10, "device": "gpu"}
interval;generateRandom-50d-cpu;100;cpu;{"dim": 50, "device": "cpu"}
interval;generateRandom-50d-gpu;100;gpu;{"dim": 50, "device": "gpu"}
interval;generateRandom-100d-cpu;100;cpu;{"dim": 100, "device": "cpu"}
interval;generateRandom-100d-gpu;100;gpu;{"dim": 100, "device": "gpu"}
interval;generateRandom-500d-cpu;100;cpu;{"dim": 500, "device": "cpu"}
interval;generateRandom-500d-gpu;100;gpu;{"dim": 500, "device": "gpu"}
interval;generateRandom-1000d-cpu;100;cpu;{"dim": 1000, "device": "cpu"}
interval;generateRandom-1000d-gpu;100;gpu;{"dim": 1000, "device": "gpu"}
interval;matMul-1d-cpu;100;cpu;{"dim": 1, "device": "cpu"}
interval;matMul-1d-gpu;100;gpu;{"dim": 1, "device": "gpu"}
interval;matMul-2d-cpu;100;cpu;{"dim": 2, "device": "cpu"}
interval;matMul-2d-gpu;100;gpu;{"dim": 2, "device": "gpu"}
interval;matMul-5d-cpu;100;cpu;{"dim": 5, "device": "cpu"}
interval;matMul-5d-gpu;100;gpu;{"dim": 5, "device": "gpu"}
interval;matMul-10d-cpu;100;cpu;{"dim": 10, "device": "cpu"}
interval;matMul-10d-gpu;100;gpu;{"dim": 10, "device": "gpu"}
interval;matMul-50d-cpu;100;cpu;{"dim": 50, "device": "cpu"}
interval;matMul-50d-gpu;100;gpu;{"dim": 50, "device": "gpu"}
interval;matMul-100d-cpu;100;cpu;{"dim": 100, "device": "cpu"}
interval;matMul-100d-gpu;100;gpu;{"dim": 100, "device": "gpu"}
interval;matMul-500d-cpu;100;cpu;{"dim": 500, "device": "cpu"}
interval;matMul-500d-gpu;100;gpu;{"dim": 500, "device": "gpu"}
interval;matMul-1000d-cpu;100;cpu;{"dim": 1000, "device": "cpu"}
interval;matMul-1000d-gpu;100;gpu;{"dim": 1000, "device": "gpu"}
interval;minkSum-1d-cpu;100;cpu;{"dim": 1, "device": "cpu"}
interval;minkSum-1d-gpu;100;gpu;{"dim": 1, "device": "gpu"}
interval;minkSum-2d-cpu;100;cpu;{"dim": 2, "device": "cpu"}
interval;minkSum-2d-gpu;100;gpu;{"dim": 2, "device": "gpu"}
interval;minkSum-5d-cpu;100;cpu;{"dim": 5, "device": "cpu"}
interval;minkSum-5d-gpu;100;gpu;{"dim": 5, "device": "gpu"}
interval;minkSum-10d-cpu;100;cpu;{"dim": 10, "device": "cpu"}
interval;minkSum-10d-gpu;100;gpu;{"dim": 10, "device": "gpu"}
interval;minkSum-50d-cpu;100;cpu;{"dim": 50, "device": "cpu"}
interval;minkSum-50d-gpu;100;gpu;{"dim": 50, "device": "gpu"}
interval;minkSum-100d-cpu;100;cpu;{"dim": 100, "device": "cpu"}
interval;minkSum-100d-gpu;100;gpu;{"dim": 100, "device": "gpu"}
interval;minkSum-500d-cpu;100;cpu;{"dim": 500, "device": "cpu"}
interval;minkSum-500d-gpu;100;gpu;{"dim": 500, "device": "gpu"}
interval;minkSum-1000d-cpu;100;cpu;{"dim": 1000, "device": "cpu"}
interval;minkSum-1000d-gpu;100;gpu;{"dim": 1000, "device": "gpu"}
interval-batched;generateRandom-1d-b10-cpu;100;cpu;{"dim": 1, "device": "cpu", "batch_size": 10}
interval-batched;generateRandom-1d-b10-gpu;100;gpu;{"dim": 1, "device": "gpu", "batch_size": 10}
interval-batched;generateRandom-1d-b100-cpu;100;cpu;{"dim": 1, "device": "cpu", "batch_size": 100}
interval-batched;generateRandom-1d-b100-gpu;100;gpu;{"dim": 1, "device": "gpu", "batch_size": 100}
interval-batched;generateRandom-2d-b10-cpu;100;cpu;{"dim": 2, "device": "cpu", "batch_size": 10}
interval-batched;generateRandom-2d-b10-gpu;100;gpu;{"dim": 2, "device": "gpu", "batch_size": 10}
interval-batched;generateRandom-2d-b100-cpu;100;cpu;{"dim": 2, "device": "cpu", "batch_size": 100}
interval-batched;generateRandom-2d-b100-gpu;100;gpu;{"dim": 2, "device": "gpu", "batch_size": 100}
interval-batched;generateRandom-5d-b10-cpu;100;cpu;{"dim": 5, "device": "cpu", "batch_size": 10}
interval-batched;generateRandom-5d-b10-gpu;100;gpu;{"dim": 5, "device": "gpu", "batch_size": 10}
interval-batched;generateRandom-5d-b100-cpu;100;cpu;{"dim": 5, "device": "cpu", "batch_size": 100}
interval-batched;generateRandom-5d-b100-gpu;100;gpu;{"dim": 5, "device": "gpu", "batch_size": 100}
interval-batched;generateRandom-10d-b10-cpu;100;cpu;{"dim": 10, "device": "cpu", "batch_size": 10}
interval-batched;generateRandom-10d-b10-gpu;100;gpu;{"dim": 10, "device": "gpu", "batch_size": 10}
interval-batched;generateRandom-10d-b100-cpu;100;cpu;{"dim": 10, "device": "cpu", "batch_size": 100}
interval-batched;generateRandom-10d-b100-gpu;100;gpu;{"dim": 10, "device": "gpu", "batch_size": 100}
interval-batched;generateRandom-50d-b10-cpu;100;cpu;{"dim": 50, "device": "cpu", "batch_size": 10}
interval-batched;generateRandom-50d-b10-gpu;100;gpu;{"dim": 50, "device": "gpu", "batch_size": 10}
interval-batched;generateRandom-50d-b100-cpu;100;cpu;{"dim": 50, "device": "cpu", "batch_size": 100}
interval-batched;generateRandom-50d-b100-gpu;100;gpu;{"dim": 50, "device": "gpu", "batch_size": 100}
interval-batched;generateRandom-100d-b10-cpu;100;cpu;{"dim": 100, "device": "cpu", "batch_size": 10}
interval-batched;generateRandom-100d-b10-gpu;100;gpu;{"dim": 100, "device": "gpu", "batch_size": 10}
interval-batched;generateRandom-100d-b100-cpu;100;cpu;{"dim": 100, "device": "cpu", "batch_size": 100}
interval-batched;generateRandom-100d-b100-gpu;100;gpu;{"dim": 100, "device": "gpu", "batch_size": 100}
interval-batched;generateRandom-500d-b10-cpu;100;cpu;{"dim": 500, "device": "cpu", "batch_size": 10}
interval-batched;generateRandom-500d-b10-gpu;100;gpu;{"dim": 500, "device": "gpu", "batch_size": 10}
interval-batched;generateRandom-500d-b100-cpu;100;cpu;{"dim": 500, "device": "cpu", "batch_size": 100}
interval-batched;generateRandom-500d-b100-gpu;100;gpu;{"dim": 500, "device": "gpu", "batch_size": 100}
